;titulo;region;tipo inmueble;proposito;direccion;orientacion;antiguedad;m2 totales;m2_utiles;terraza;m2_terraza;ambientes;habitaciones;banos;estacionamiento;bodega;piso de apartamento;cantidad de pisos edificio;apartamentos por piso;gastos comunes;precio;precio por m2;latitud;longitud;url
115;Linda , Acogedora Y Espaciosa Casa;coquimbo;casa;venta;Pasaje Messina 300 - 600, La Serena, Chile, Puerta del Mar, La Serena, Coquimbo;P;0;150;128;0;0;0;3;2;1;0;0;2;0;0;196179854;1307865,693;-29,902;-71,26084;https://www.portalinmobiliario.com/MLC-1547630540-linda-acogedora-y-espaciosa-casa-_JM#position=16&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
116;Casa Av Balmaceda, La Serena 180.000.000 (precio Tratable);coquimbo;casa;venta;Av Balmaceda, La Pampa, La Serena, Coquimbo;0;0;223;208;0;0;0;6;3;3;0;0;0;0;0;170000000;762331,8386;-29,91342;-71,25081;https://www.portalinmobiliario.com/MLC-1372667055-casa-av-balmaceda-la-serena-180000000-precio-tratable-_JM#position=17&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
117;Amplia Casa En Sector Sindempart , Coquimbo;coquimbo;casa;venta;Sector Sindempart, Sindempart, Coquimbo, Coquimbo;0;0;235;160;0;0;0;5;2;2;0;0;0;0;0;168357984;716416,9532;-29,98329;-71,33651;https://www.portalinmobiliario.com/MLC-1538699890-amplia-casa-en-sector-sindempart-coquimbo-_JM#position=18&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
118;Hermosa Casa Con Amplio Terreno;coquimbo;casa;venta;Avenida Gabriel González Videla 3572, La Serena, Chile, La Pampa, La Serena, Coquimbo;0;0;1100;230;0;0;0;4;3;10;0;0;0;0;0;481532370;437756,7;-29,93953;-71,25122;https://www.portalinmobiliario.com/MLC-1373248217-hermosa-casa-con-amplio-terreno-_JM#position=19&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
119;Alto Las Pircas;coquimbo;casa;venta;Alto Las Pircas, Rinconada, Coquimbo, Coquimbo;P;2015 años;124;47;0;0;0;2;1;0;0;0;0;0;0;89172661;719134,3629;-29,9541;-71,33815;https://www.portalinmobiliario.com/MLC-1371664323-alto-las-pircas-_JM#position=20&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
120;Hermosa Casa - Compañias La Serena;coquimbo;casa;venta;Calle San Antonio, Las Compañías, La Serena, Coquimbo;0;0;60;36;0;0;0;4;1;0;0;0;0;0;0;80000000;1333333,333;-29,87103;-71,24037;https://www.portalinmobiliario.com/MLC-1532291692-hermosa-casa-companias-la-serena-_JM#position=21&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
121;Increíble Oportunidad De Inversiòn!!! Casa Esquina En Excele;coquimbo;casa;venta;Barrio, Sindempart, Coquimbo, Coquimbo;0;0;152;70;0;0;0;4;2;3;0;0;0;0;0;154090358;1013752,355;-29,97352;-71,32315;https://www.portalinmobiliario.com/MLC-1532281186-increible-oportunidad-de-inversin-casa-esquina-en-excele-_JM#position=22&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
122;Parcela Con Espectacular Terreno En Altovalsol;coquimbo;casa;venta;Algarrobito - Altovalsol, La Serena, Coquimbo;0;8 años;6661;440;0;0;0;4;4;2;0;0;0;0;0;606374096;91033,49287;-29,94197;-71,14681;https://www.portalinmobiliario.com/MLC-1531652132-parcela-con-espectacular-terreno-en-altovalsol-_JM#position=23&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
123;Centro La Serena ;coquimbo;casa;venta;Centro La Serena, Centro de La Serena, La Serena, Coquimbo;S;40 años;408;211;0;0;0;10;5;2;0;0;0;0;0;495799996;1215196,069;-29,90225;-71,24986;https://www.portalinmobiliario.com/MLC-1536651456-centro-la-serena-_JM#position=24&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
124;Gran Oportunidad De Casa Con Espacio Para Emprendimiento En;coquimbo;casa;venta;La Cantera, Peñuelas, Coquimbo, Coquimbo;0;0;1;0;0;0;0;3;2;2;0;0;0;0;0;75000000;75000000;-29,97772;-71,28389;https://www.portalinmobiliario.com/MLC-1372581969-gran-oportunidad-de-casa-con-espacio-para-emprendimiento-en-_JM#position=25&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
125;Casa En Venta De 3 Dorm. En La Serena;coquimbo;casa;venta;Jose Gonzalez Valcarcer, La Serena, San Joaquín, La Serena, Coquimbo;Oriente;0 años;176;72;0;0;0;3;2;1;0;0;1;0;0 ;150523452;855246,8864;-29,9207;-71,23695;https://www.portalinmobiliario.com/MLC-1372076031-casa-en-venta-de-3-dorm-en-la-serena-_JM#position=26&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
126;Amplia Casa En Excelente Ubicación Y Conectividad, Peñuelas.;coquimbo;casa;venta;Marbella 4958, Coquimbo, Chile, Peñuelas, Coquimbo, Coquimbo;0;0;140;140;0;0;0;4;3;2;0;0;2;0;0;278218703;1987276,45;-29,95478;-71,28814;https://www.portalinmobiliario.com/MLC-1373153887-amplia-casa-en-excelente-ubicacion-y-conectividad-penuelas-_JM#position=27&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
